idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.9251755313591;2.4682285592610675,CRS3035RES1000mN2896000E3770000,CRS3035RES1000mN2896000E3770000,0,0,93007,196,62,15,16,12,41,3,3909683.6,4510,16,46,24,13,9,15,1,0,12,4,19,19,9,49,39,25,15,5,0
WSG84;48.925359206159726;2.4709453702269193,CRS3035RES1000mN2896000E3770000,CRS3035RES1000mN2896000E3770000,0,0,93007,256,81,24,25,22,46,6,4238778.3,4964,58,23,11,9,26,35,0,0,22,10,19,30,20,56,59,22,11,6,1
WSG84;48.92554281494721;2.473662199573365,CRS3035RES1000mN2896000E3770000,CRS3035RES1000mN2896000E3770000,0,0,93007,1881.5,699,229,248,118,3,147,29031147.8,40717,699,0,0,695,0,0,4,692,107.5,72,167.5,210,129.5,317,399,251,164,47,17
WSG84;48.925726357720855;2.4763790472940577,CRS3035RES1000mN2896000E3770000,CRS3035RES1000mN2896000E3770000,0,0,93007,218,69,18,18,15,38,7,4128894.1,5194,19,50,20,24,18,5,2,0,12,5,26,25,13,50,33,20,24,10,0
WSG84;48.925909834479924;2.479095913382654,CRS3035RES1000mN2896000E3770000,CRS3035RES1000mN2896000E3770000,0,0,9300793005,215,62,14,12,16,45,0,4041672.5,4724,15,47,30,15,12,5,0,0,13,5,14,19,21,55,41,16,24,7,0
WSG84;48.9260932452237;2.4818127978328057,CRS3035RES1000mN2896000E3771000,CRS3035RES200mN2896200E3771000,0,0,93005,267,101,23,29,12,71,9,5835549.2,7198,32,69,72,7,11,11,0,0,20,7,12,26,16,67,50,24,31,14,0
WSG84;48.92627658995147;2.484529700638163,CRS3035RES1000mN2896000E3771000,CRS3035RES200mN2896200E3771200,0,0,93005,263.5,98,12,31,14,70,5,6392600,7145,17,81,70,8,8,11,1,0,12,5,21.5,27,26,39,62,25,31,15,0
WSG84;48.92645986866252;2.4872466217923845,CRS3035RES1000mN2896000E3771000,CRS3035RES200mN2896200E3771400,0,0,93005,228,104,18,37,4,78,6,5988472.8,8623,17,87,72,9,10,13,0,0,14,8,7,12,15,47,36,40,32,17,0
WSG84;48.92664308135614;2.48996356128912,CRS3035RES1000mN2896000E3771000,CRS3035RES200mN2896200E3771600,0,0,93005,713.5,317,73,128,29,123,41,14808401.3,16676,287,30,112,95,27,72,11,0,65,18,43.5,47.5,33.5,242,115,69,42,38,0
WSG84;48.92682622803157;2.49268051912202,CRS3035RES1000mN2896000E3771000,CRS3035RES200mN2896200E3771800,0,0,93005,280.5,154,17,73,4,79,13,7536234.6,9023,112,42,49,14,13,78,0,0,15,5.5,11.5,10.5,13,71,47,30,40,37,0
WSG84;48.92700930868815;2.4953974952847444,CRS3035RES1000mN2896000E3772000,CRS3035RES200mN2896200E3772000,0,0,93005,370.5,165,23,63,11,54,23,8720641.5,9357,141,24,81,5,1,78,0,0,25,12,20.5,29,22,114,66,45,23,14,0
WSG84;48.92719232332512;2.498114489770939,CRS3035RES1000mN2896000E3772000,CRS3035RES200mN2896200E3772200,0,0,93005,285,133,27,59,8,68,14,6417669.1,8062,64,69,102,12,7,11,1,9,15,5,19,17,22,72,62,28,31,14,0
WSG84;48.92737527194179;2.5008315025742576,CRS3035RES1000mN2896000E3772000,CRS3035RES200mN2896200E3772400,0,0,93005,167,56,10,12,9,46,4,4208441.9,5155,5,51,42,4,4,6,0,0,11,7,10,17,11,26,43,21,17,4,0
WSG84;48.92755815453743;2.5035485336883463,CRS3035RES1000mN2896000E3772000,CRS3035RES200mN2896200E3772600,0,0,93005,189,69,1,9,6,61,5,5916861.4,6613,5,64,47,4,11,7,0,0,7,0,10,21,14,22,47,40,24,4,0
WSG84;48.92774097111133;2.506265583106861,CRS3035RES1000mN2896000E3772000,CRS3035RES200mN2896200E3772800,0,0,93005,284,108,32,36,11,61,15,5834008,6539,48,60,69,10,8,21,0,0,20.5,6,13,23.5,20,64,66,32,34,5,0
WSG84;48.92792372166277;2.5089826508234503,CRS3035RES1000mN2896000E3773000,CRS3035RES1000mN2896000E3773000,0,0,93005,488.5,137,31,22,39,0,30,7979515.3,11090,137,0,0,0,137,0,0,137,42.5,18.5,68.5,66,27,118,83,38,22,3,2
WSG84;48.928106406191034;2.5116997368317673,CRS3035RES1000mN2896000E3773000,CRS3035RES1000mN2896000E3773000,1,0,9300593071,20,9.4,2.8,3.9,0.6,7.2,0.6,386234.5,667.8,1.1,8.3,3.9,1.6,1.7,1.1,1.1,0,0,0,1.7,1.1,0.5,2.2,2.8,5,5,1.7,0
WSG84;48.9282890246954;2.5144168411254544,CRS3035RES1000mN2896000E3773000,CRS3035RES1000mN2896000E3773000,0,0,9307193005,1483.5,516,298,205,108,30,59,17088478.8,14869,485,31,4,10,14,488,0,222,79,44,154.5,189.5,45.5,170,235,188,171,37,170
