siren,dateCreationEtablissement,denominationUniteLegale,isOnePerson,X,Y,appearances
310485974,1900-01-01,PARIDECOUPE,False,48.872197895,2.4140115481,2
310573423,1900-01-01,,True,48.906852679,2.3732720634,1
310633896,1900-01-01,,True,48.86364642,2.428583926,1
310756440,1900-01-01,ETUDE REALISATION DE COMBINES PLASTIQUES,False,48.941944852,2.4452252291,2
310783758,1900-01-01,,True,48.946727207,2.445504478,1
310816723,1900-01-01,,True,48.920293748,2.4766899127,1
310913371,1900-01-01,ETABLISSEMENTS YVES WAINTROB,False,48.945583639,2.5058128077,2
310980933,1900-01-01,SARL ETUDES & MAITRISE SECOND OEUVRE,False,48.913274843,2.3801947055,2
311086409,1900-01-01,,True,48.933692408,2.5031590508,1
311154645,1900-01-01,,True,48.927269317,2.5087217462,1
311229066,1900-01-01,,True,48.914802314,2.3875051169,1
311239560,1900-01-01,,True,48.931616035,2.5008352489,1
311322036,1900-01-01,,True,48.902131361,2.3882426862,1
311379812,1900-01-01,,True,48.950522939,2.4970779979,1
311457220,1900-01-01,,True,48.860756696,2.4186573199,1
311506786,1900-01-01,,True,48.916331823,2.3989541519,1
311548820,1900-01-01,SOCIETE CHIMIQUE D'INTERVENTION,False,48.943985154,2.503735141,2
311592976,1900-01-01,,True,48.945794349,2.4445232474,1
311685168,1900-01-01,,True,48.952165498,2.4980575022,1
311755953,1900-01-01,,True,48.858885985,2.4214246017,1
311799464,1900-01-01,SECMER,False,48.974239956,2.5132880276,2
311884951,1900-01-01,,True,48.921505389,2.3717134884,1
311976120,1900-01-01,STEPHER,False,48.932520239,2.4937135238,2
312156656,1900-01-01,,True,48.907694374,2.3878341905,1
312225642,1900-01-01,,True,48.955900328,2.4972485691,1
312284789,1900-01-01,GIE COODIS ILE FRANCE,False,48.943469859,2.4483672052,2
312318066,1900-01-01,,True,48.856084833,2.4160997473,1
312372360,1900-01-01,,True,48.933898514,2.5038518355,1
312450406,1900-01-01,SOCIETE NOUVELLE DES TRANSPORTS GAILLARD,False,48.955888838,2.4658094275,2
312494818,1900-01-01,CRE ADAPT,False,48.924455582,2.4674896004,2
312542442,1900-01-01,,True,48.913021671,2.3830656992,1
312621741,1900-01-01,,True,48.912039317,2.3923291915,1
312711047,1900-01-01,,True,48.917279372,2.3749905019,1
312778467,1900-01-01,,True,48.923784803,2.4738816462,1
312807332,1900-01-01,,True,48.947174611,2.4396098351,1
312856370,1900-01-01,SAADOUN SAID & ZERKAK LAID,False,48.912883766,2.3757145751,2
312989239,1900-01-01,DISTRIBUTION SERVICE ET DIFFUSION,False,48.908045229,2.3878587137,2
313084204,1900-01-01,,True,48.912465229,2.3742665191,1
